X1,TB_status_limma_logFC,TB_status_limma_AveExpr,TB_status_limma_t,TB_status_limma_P.Value,TB_status_limma_padj,TB_status_limma_B
CDKN2D,36.3059116427709,79.075702610242,23.8011184260896,1.81448163982853e-12,4.60297702391701e-8,15.7699593390011
NACAP1,48.7372702076615,59.0758383452226,20.4919621295107,1.3162358487463e-11,1.66951355054981e-7,14.6717662890707
RPS10,64.2293976787025,62.8992210557624,18.9184032926962,3.76432623596084e-11,2.83624550891924e-7,14.0275448009582
LOC728989,-31.2536165204165,20.8357443469443,-18.6714201669158,4.47216258107733e-11,2.83624550891924e-7,13.9178961679838
SPINK1,-76.0756279723026,50.7170853148684,-17.7843634667937,8.45422034714772e-11,4.28933323532887e-7,13.5030229050394
PDIA3P1,23.6590092747725,68.3305364830154,17.4753856992608,1.06268635235258e-10,4.49303789774672e-7,13.3503528069846
SLC7A5P1,-37.6119746290929,25.0746497527286,-17.228935117167,1.27879571929596e-10,4.63435568672855e-7,13.2253888175423
RPL13AP20,39.1466642044885,71.8403052264772,16.5724131756833,2.11948608435799e-10,6.00779604086019e-7,12.8780371650765
SNORA20,-33.5962545400588,24.265109565291,-16.5652405525528,2.13143189718313e-10,6.00779604086019e-7,12.8741221223949
NCS1,-61.8069736535447,68.0145619570649,-15.8699847342406,3.71500593925976e-10,9.42422706671415e-7,12.4816477582424
SNORD36B,-32.7854586547994,21.8569724365329,-15.1690385785402,6.65426837118917e-10,1.45862813790521e-6,12.0584959735214
RPS10P7,29.2204527629998,58.8400197152605,15.1263898191296,6.89984928053552e-10,1.45862813790521e-6,12.0318089434315
CCDC184,-39.7711085001144,26.5140723334096,-14.8188190283783,8.98538461822533e-10,1.75339413073185e-6,11.8360221236829
NTNG2,24.9584189942337,46.4971921675458,14.7105981589646,9.87186396814329e-10,1.78878175102756e-6,11.765718031462
LOC606724,51.8291466733963,23.9435068632409,14.5988027481812,1.0886623095342e-9,1.84114569788424e-6,11.6923020905195
METTL7A,45.1423925930215,77.9659300591862,14.2107589362305,1.53696837697484e-9,2.1874416895023e-6,11.4310957185049
PUS7L,-18.8152982542868,60.1641492053433,-14.1989420401311,1.55339657368269e-9,2.1874416895023e-6,11.4229827882993
ZNF428,35.0986439670741,51.056090313809,14.1585759781742,1.61094550390104e-9,2.1874416895023e-6,11.3951974155684
PLEK2,-46.1570781492526,34.3429626481837,-14.1398996319936,1.63833932909743e-9,2.1874416895023e-6,11.3823040800053
ZNF786,-14.9539369089373,63.392793657937,-13.8227802832562,2.18808246285217e-9,2.77536379588169e-6,11.1596779742619
SNORD55,-31.2563293991362,25.1431402026246,-13.6906678714819,2.47264218499754e-9,2.90744900536161e-6,11.064830324469
CR1,32.8810469391829,50.4459032652434,13.6696533113433,2.52143953476645e-9,2.90744900536161e-6,11.0496272363741
DEPDC7,-41.0564561628711,43.0413151441367,-13.4778570213424,3.01745784753717e-9,3.24742939058455e-6,10.9093785355316
FAM83F,-36.8127879139562,24.5418586093041,-13.4587477882362,3.07230784350478e-9,3.24742939058455e-6,10.8952563779517
DIAPH2,28.3414655593032,65.9306701012422,13.4006887533606,3.24559337041494e-9,3.25014432893997e-6,10.8521822702602
GZMM,51.8599893157254,59.5824491533645,13.3732435996929,3.33111607349571e-9,3.25014432893997e-6,10.8317327368209
MTA2,29.8453915988766,73.0660035463914,13.2046351114486,3.91227075931064e-9,3.67579572674787e-6,10.7048504463144
TRERF1,19.176588794079102,63.7748604386562,13.1618698771686,4.07629287850494e-9,3.69312134792547e-6,10.6723230551702
