X1,TB_status_limma_logFC,TB_status_limma_AveExpr,TB_status_limma_t,TB_status_limma_P.Value,TB_status_limma_padj,TB_status_limma_B
SPINK1,-60.1996718546478,22.0818039227193,-15.180145786671,4.85488058376072e-24,7.38961373654219e-20,17.4510325031304
CDH23,37.3574002876748,69.2685885521499,12.8988586358061,2.51820866878827e-20,1.56403818147965e-16,14.9351241833129
CLEC12B,41.6390849995032,49.7761308271581,12.8469630582225,3.08265852732341e-20,1.56403818147965e-16,14.8704651302516
CARD9,43.9324023523434,54.5490280962539,12.66181874752,6.36005658817083e-20,2.2332052356705e-16,14.6368970781977
ZNF768,39.9620508157003,43.5937540577944,12.6254536886732,7.33593468126438e-20,2.2332052356705e-16,14.5904871086913
ADAMTS10,40.268312785393,57.1238290291998,12.4641377209774,1.38455214467008e-19,3.51237803233721e-16,14.3824789375134
PPP1R9B,37.0875282368216,80.5403656610216,12.3423238000706,2.24141420047234e-19,4.87379507791278e-16,14.2230825061597
GGT7,36.8681650145717,65.2592073374796,12.2690959398954,2.99683313659585e-19,5.70184964651569e-16,14.1262919056815
TARS,-22.5869644039531,77.5302882480841,-12.1389306621666,5.03000196010447e-19,8.24705374393129e-16,13.9524318400759
ODF3B,36.1612304099271,73.1490049364229,12.1041557839095,5.77831932233636e-19,8.24705374393129e-16,13.9055891403833
RAP1GAP2,32.7494696265053,78.4555549297186,12.092198232578,6.0607653983051e-19,8.24705374393129e-16,13.8894434375523
SLC24A4,34.8949392803557,65.6647784442269,12.0746039105498,6.50184908528845e-19,8.24705374393129e-16,13.8656507527544
PRR12,34.6027412496059,57.5757490666326,11.9633171035937,1.01479676686541e-18,1.10789014479885e-15,13.7141646416878
ERF,36.9449142205113,58.1591148081731,11.9622813080968,1.01901728054556e-18,1.10789014479885e-15,13.7127466126591
TXNRD1,-33.4490741574728,87.75144748156,-11.8499081398333,1.5997518003078e-18,1.62332147683233e-15,13.5580161141083
MRPS18C,-32.6077411108465,60.5683398252597,-11.8151728791928,1.83960989599191e-18,1.7500438891808e-15,13.5098305503709
LRP1,50.4356234724641,74.7299862971012,11.7785833496447,2.13158575468207e-18,1.90852157482445e-15,13.4588895785382
ZNF428,27.0690420680714,60.2750622422583,11.7577061698628,2.3186570522607e-18,1.96068216624778e-15,13.4297394625116
GEM,-51.3452745269593,39.3358572912122,-11.68932925685,3.05522057679023e-18,2.38009976353896e-15,13.3338372040735
ZNF414,35.1277393532125,53.5735882744416,11.6716328239501,3.28160830776722e-18,2.38009976353896e-15,13.3089095451395
CD59,-28.8416292273143,83.1959572896795,-11.6639211994457,3.38547613770598e-18,2.38009976353896e-15,13.2980329031754
SAP25,35.4298396037306,68.4019059252308,11.6535936114902,3.52978336474506e-18,2.38009976353896e-15,13.2834534774711
DGKZ,41.4751199028022,73.9603667233632,11.6489619602585,3.59649790167506e-18,2.38009976353896e-15,13.2769100883924
ZDHHC8,23.8508216580452,71.4099975117838,11.5819574474859,4.71667903243756e-18,2.9913571480305e-15,13.1819091823593
MRPL32,-23.8580037191188,75.91297276271,-11.558263173525,5.1919424145427e-18,3.16106221967018e-15,13.14816234525
NPIPB5,40.606216147812,62.7346856051255,11.5384808616784,5.62549253879795e-18,3.29329315127091e-15,13.1199260621069
NFAM1,41.1340459583646,71.1437023419213,11.433481289347,8.61684318022831e-18,4.82904501820202e-15,12.9691220930645
LINC00264,40.2707376839725,49.0602533496923,11.4259926123757,8.88333621376103e-18,4.82904501820202e-15,12.9583065119558
CLASRP,28.5126545106619,81.5301160320798,11.4131677073872,9.35914234608994e-18,4.91225881551155e-15,12.9397654263405
PPP2CB,-27.3570971336616,74.2818009603473,-11.394038042673,1.0116964075696e-17,5.13301033987229e-15,12.9120657897322
EFNB2,-38.7614843361367,32.9666657148726,-11.2628455619796,1.72748471346731e-17,8.4819499431245e-15,12.7206870619591
C14orf119,-32.2013644449332,79.198641587008,-11.2295321844469,1.97945527893807e-17,9.41540275022385e-15,12.671697252093299
GLA,-32.0909400700449,76.2300261887623,-11.1638980883739,2.58938383576115e-17,1.19433367770062e-14,12.5747098731729
SLC7A11,-58.2564626468257,57.9763881981283,-11.1104041037175,3.22415885646047e-17,1.42921199341671e-14,12.4952023915769
ABHD17A,36.7756245539293,67.468284791144,11.1049555790774,3.29702447952878e-17,1.42921199341671e-14,12.4870811263947
LYSMD2,-24.4994065432671,78.9363705447887,-11.0988746872321,3.3803056148086e-17,1.42921199341671e-14,12.478012225061
SPI1,53.9793991413948,90.8927439022768,11.0697898900887,3.8088766331535e-17,1.56688949278999e-14,12.4345619118301
ORMDL2,-25.7081386444486,74.9172012087303,-11.0380376124729,4.33946133348722e-17,1.73818265676339e-14,12.3869869034069
CCDC127,-27.7907718157621,59.2543509391031,-11.0298542890567,4.48787084076885e-17,1.75153543762417e-14,12.3747020343911
TMEM175,30.9203432118241,72.4725369521126,11.0223810191842,4.62786070549425e-17,1.7610166949582e-14,12.3634746329979
PNP,-31.911007180185,90.1009711842138,-11.011123317878,4.84708004294892e-17,1.79944891057867e-14,12.346546455624
SCIMP,31.1734849475598,62.9644720495084,10.9878893996856,5.3331120027999e-17,1.93274518558612e-14,12.3115516240337
LTBR,38.5668467912415,59.8522760759488,10.9458017834932,6.3418887606818e-17,2.24488113549623e-14,12.24796017047
RPA3,-27.663019805781,66.8292229667125,-10.9084821109814,7.39602374133492e-17,2.55851994015588e-14,12.1913577919296
SDF2,-26.552036184257,76.5925946392563,-10.8987681120365,7.69822285163729e-17,2.60388111166158e-14,12.1765915039108
ZNF316,29.1147957746599,74.2221097917433,10.8638427900225,8.89110097619053e-17,2.94198799909991e-14,12.1233881621576
BRSK1,38.639397842384,35.778542119543,10.8516825684631,9.34871056456671e-17,3.00350241141265e-14,12.1048223428927
PTP4A3,33.4399393795488,59.3807992368984,10.8485174127709,9.47165861295625e-17,3.00350241141265e-14,12.0999863639737
OSBPL5,34.68721590946,67.2758904793006,10.8254563792366,1.04179351978802e-16,3.23615084993742e-14,12.0647079031427
PCED1A,27.5251308650791,77.8431291678551,10.8090208167658,1.11498666576304e-16,3.39424240791585e-14,12.0395178014176
INO80B,30.4673896135511,37.5416170958756,10.801037430547,1.15238425256502e-16,3.43930209966514e-14,12.0272678202216
CORO1B,32.796207996615,73.0460372976508,10.7850333380577,1.2311976233175e-16,3.60385750471455e-14,12.0026826668859
NMB,-34.8550738477503,49.549040159258404,-10.7791233093358,1.26165372938962e-16,3.6233266820829e-14,11.9935943813295
GZMM,44.6722603192167,74.4816383203663,10.7078376047146,1.6945778921811e-16,4.77651298090528e-14,11.8835725708429
PDIA3P1,22.2744642276706,74.731589192409,10.6806455382894,1.89666173708323e-16,5.1732213278349e-14,11.8414095447435
C1RL,26.8198025305178,61.2789907114624,10.6798032806938,1.90329409604332e-16,5.1732213278349e-14,11.8401018507253
SKP1P2,-27.4660920375466,59.6041025402683,-10.644808391247,2.2004970354639e-16,5.87609918891157e-14,11.7856772016744
UNC13D,31.9397124300589,79.1375917426734,10.6351970130819,2.29000664161157e-16,6.00968811930513e-14,11.7706981786768
MARVELD1,30.1242965336325,53.8521284884775,10.5760488984423,2.92739893636443e-16,7.55219308650899e-14,11.6782212802491
ABCD1,31.1197658131612,56.2029068359273,10.5597641157308,3.13233844434428e-16,7.81868409291062e-14,11.6526707833423
EPHX1,39.2118277094838,56.8514832941222,10.5578488928572,3.15737022236227e-16,7.81868409291062e-14,11.649663295313
NCS1,-50.6061441790949,38.5348386012466,-10.5557676433713,3.18480003784547e-16,7.81868409291062e-14,11.6463944879667
MRPL14,-23.4218722314393,72.9054498415981,-10.5479635092966,3.28980539732482e-16,7.88023441996949e-14,11.6341317006807
C11orf21,36.4079382005776,73.4465167306981,10.5462432663419,3.31341569461959e-16,7.88023441996949e-14,11.6314274547129
BTK,31.931576159834002,75.8466642979004,10.4960285941071,4.08305722255616e-16,9.56126368992728e-14,11.5522990916214
NCF1,43.1648121814282,66.4927121372903,10.4743923545027,4.46787373209242e-16,1.03038645569968e-13,11.5180912854344
ZNF385A,47.0831867372801,70.1534433274582,10.4675055327819,4.59785454514458e-16,1.03369778443157e-13,11.5071886027225
KHDRBS3,-40.7845292789602,31.1637457587968,-10.4648536514991,4.64891354285464e-16,1.03369778443157e-13,11.5029885046684
MTA2,24.8319596751185,82.8304985614706,10.4620154102661,4.70419235864518e-16,1.03369778443157e-13,11.4984921097703
SLC22A18,24.9171019598807,60.5782329039473,10.4594925851269,4.75388245911635e-16,1.03369778443157e-13,11.4944944164588
MIIP,25.2733963264454,70.7348708245003,10.4417092900108,5.11944087601929e-16,1.09750717709704e-13,11.4662884949997
RABIF,-19.5780171113805,71.6799751823146,-10.437876876546,5.20185063574276e-16,1.09968567398112e-13,11.4602038969471
MED20,-28.8037515820219,61.8149353472784,-10.4231225368122,5.5317621817723e-16,1.14122468100578e-13,11.4367589105531
EML2,35.6655861416348,68.9323011628951,10.4224065372175,5.54829685266591e-16,1.14122468100578e-13,11.4356203627839
SCAMP4,30.3235892943415,59.5281665609513,10.3809759459115,6.59471747962109e-16,1.3383759300975e-13,11.369612099408
CD1D,37.9026920842009,63.9291946915822,10.3746915295794,6.76992613005313e-16,1.35585586349393e-13,11.3595777407051
TP53BP1,-21.6162141978924,72.2220926513315,-10.3639234973679,7.08108437942169e-16,1.39975565375555e-13,11.3423709804498
RAB37,29.9299652897066,80.5385755936908,10.3546775788256,7.35970650589639e-16,1.42265033383334e-13,11.3275829861375
SF3A2,33.507790610584,60.0588891036849,10.3538934588294,7.38383656611486e-16,1.42265033383334e-13,11.3263282850361
CYSTM1,-33.7376520420616,73.4300165550283,-10.3412253500186,7.78488366212824e-16,1.48117142776567e-13,11.3060451230738
GCLM,-34.2882226483609,73.9540475766499,-10.3353868454644,7.97701979471853e-16,1.49899034932606e-13,11.2966890990401
SNHG12,-32.0686509746804,81.9164605396421,-10.3297880485571,8.16574290546981e-16,1.5157411312702e-13,11.2877125307038
ARSA,25.985705419075,71.9100365494001,10.3207622974769,8.47947583115328e-16,1.55333145216636e-13,11.2732318934739
PRNP,-26.9287594490282,91.1066817543798,-10.3181545332644,8.57235674278787e-16,1.55333145216636e-13,11.2690458653115
ATP6V1D,-27.5473946694422,75.6067814512802,-10.2802070957554,1.00456192245616e-15,1.79887494373003e-13,11.2080198119976
NCF1B,37.6170054121794,66.2006295391499,10.2685643372061,1.05467757056274e-15,1.86665666296924e-13,11.1892541634156
AASDHPPT,-22.2975224854343,73.8960464042003,-10.2556842387407,1.11305229378432e-15,1.94732976594151e-13,11.1684711729151
CR1,28.4008500226417,62.8396270833261,10.2451210589154,1.16334221579553e-15,2.01218543938907e-13,11.151408661454
WAS,40.9241652954682,89.7910431338441,10.2181733973763,1.30222646489433e-15,2.22709989012995e-13,11.1078069715122
CLSTN3,30.2310828754745,66.2479335614618,10.1843202342068,1.50056355592188e-15,2.53778643163189e-13,11.052882214285
