X1,TB_status_limma_logFC,TB_status_limma_AveExpr,TB_status_limma_t,TB_status_limma_P.Value,TB_status_limma_padj,TB_status_limma_B
SPINK1,-65.2488813866316,22.0818039227193,-11.5415851847417,5.55512103005181e-18,8.45544971984187e-14,7.05822401485727
ZNF428,35.8164021212925,60.2750622422583,10.9129520078916,7.2610038440259e-17,4.52828330496141e-13,6.50112447750334
GEM,-67.7510627998986,39.3358572912122,-10.8197143700838,1.06679854954705e-16,4.52828330496141e-13,6.41506928617511
SCIMP,43.6529212952552,62.9644720495084,10.7932642076906,1.19000940935849e-16,4.52828330496141e-13,6.39049295967927
SLC24A4,43.3773262173039,65.6647784442269,10.5289193011313,3.5608947650702e-16,1.08400758438267e-12,6.14087257188008
MARVELD1,42.0645266661287,53.8521284884775,10.3593645100047,7.21711719220424e-16,1.83086234637568e-12,5.9769029988002504
BTK,44.3936377094599,75.8466642979004,10.2361338169954,1.2079233622949e-15,2.6265430710701e-12,5.85582402676241
NCF1B,53.0785910873117,66.2006295391499,10.163784952624,1.63539115896469e-15,3.11153610382519e-12,5.78398711009014
SPI1,68.5537092470009,90.8927439022768,9.86172441925496,5.82056278937684e-15,8.86183022234494e-12,5.47803160714138
FGD4,40.055172040327,65.6860441070453,9.86166144617518,5.82210776055775e-15,8.86183022234494e-12,5.47796680455843
PLBD1,55.4757099351064,85.0919260586571,9.69114560290907,1.19573058209526e-14,1.62375396430162e-11,5.30093822460275
CD1D,50.3889888823335,63.9291946915822,9.67500841296961,1.28014240664999e-14,1.62375396430162e-11,5.28402318748725
MARC1,46.4526025776715,53.1854101751192,9.62971978334195,1.55038873779021e-14,1.76141794540807e-11,5.23640235484987
GZMM,57.1860614701283,74.4816383203663,9.61533915960687,1.64765425682794e-14,1.76141794540807e-11,5.22123516178694
ASGR1,56.1464331223881,60.1766449877628,9.60301872669045,1.73584318908883e-14,1.76141794540807e-11,5.2082232031537
WAS,54.2170745630294,89.7910431338441,9.49598654304135,2.73154401034732e-14,2.59855196134353e-11,5.09449856984967
NCF1,55.5501823366276,66.4927121372903,9.45572957511892,3.24000160983079e-14,2.80883069136798e-11,5.05140666365312
FUT7,51.1216403989675,47.1238212571826,9.44782314402199,3.35050781705182e-14,2.80883069136798e-11,5.042923056513
CDH23,38.9631569811481,69.2685885521499,9.43711717957595,3.50619428000733e-14,2.80883069136798e-11,5.03142487745468
CLEC12B,43.2803156861969,49.7761308271581,9.36699503054848,4.72177242615326e-14,3.59350490492394e-11,4.95581050138516
ACPP,40.6110781890443,52.8611346351625,9.23187350256551,8.38557678292917e-14,5.88362749680107e-11,4.80862351915631
SIT1,40.1644143788928,63.5816233188527,9.22281971751711,8.71486533798136e-14,5.88362749680107e-11,4.79869164548134
CACNA2D3,44.4366577789321,48.9059906674517,9.20777446010752,9.29099461234766e-14,5.88362749680107e-11,4.78216789575931
FAM222A,-57.1532928191897,32.7688734895183,-9.20737423576251,9.30683113092039e-14,5.88362749680107e-11,4.78172801226752
ODF3B,39.1756925108694,73.1490049364229,9.19853276787409,9.66366778924031e-14,5.88362749680107e-11,4.77200607231475
CORO1B,39.6737093239106,73.0460372976508,9.15189943117977,1.17856568770521e-13,6.89959551252345e-11,4.72059112351984
CBFA2T3,29.2193475876174,66.6013719916315,9.09346034137704,1.51165995650366e-13,8.34110761950214e-11,4.65583360582833
LTBR,45.6580923602331,59.8522760759488,9.0899560030395,1.53439993000499e-13,8.34110761950214e-11,4.65193885979747
NMB,-41.7535634705032,49.549040159258404,-9.05777548226353,1.75993558159243e-13,9.23723430600632e-11,4.61611234588766
P2RY13,49.6295165106242,60.7956639375337,9.03761877054432,1.9178376563508e-13,9.73046898910517e-11,4.59361605345669
INO80B,36.0292455185329,37.5416170958756,8.9597515024414,2.67320577981621e-13,1.31254403788976e-10,4.5063074045503
MNDA,48.4064395446611,85.5361261821015,8.91408814185384,3.24829375538257e-13,1.54507122658369e-10,4.4548100115484
TP53BP1,-26.4558835139051,72.2220926513315,-8.89769275755525,3.4837525649134e-13,1.60666951122263e-10,4.43626642235723
LILRA2,45.328797859308,72.4180636411332,8.88111191237037,3.73927471122297e-13,1.60666951122263e-10,4.41748436554208
CCDC173,-54.8327943351601,28.9572248336472,-8.87969119167265,3.76202360137701e-13,1.60666951122263e-10,4.41587369340118
PDIA3P1,26.3925841435425,74.731589192409,8.87733732287555,3.80001986755238e-13,1.60666951122263e-10,4.41320464458762
NFAM1,45.4956631127346,71.1437023419213,8.87069460766233,3.90933332883277e-13,1.60821520535577e-10,4.40566934484418
MTA2,29.7420580019336,82.8304985614706,8.78994078737072,5.51933607619574e-13,2.21078458988882e-10,4.31369525703694
RASSF4,44.4467773357134,76.5024558068899,8.74434752955065,6.70646466920097e-13,2.61741278794636e-10,4.26146651953503
MARCH1,34.7260569574866,81.0377844730866,8.70975526448994,7.77505362154123e-13,2.95860227933698e-10,4.22169564960285
PPP1R9B,37.2631822528988,80.5403656610216,8.69880426542145,8.14767058385018e-13,3.02477302333619e-10,4.20907937814327
ALDH4A1,37.243243150912,55.1079568539402,8.68488115266247,8.64735147005051e-13,3.13384135061045e-10,4.19302110543271
MIIP,29.9335141222179,70.7348708245003,8.67513550293465,9.01525821114476e-13,3.16180490427234e-10,4.18176899340692
